Specialist Task,Specialist Cluster,Cluster Family,Skill Statement
Ignite fuel to activate heating equipment,"Operate and maintain heating, ventilation or air conditioning equipment",Construction,"Activate heating equipment by igniting fuel in burners or other containers using matches, lighters, or system-activated flames. This may involve maintaining and applying knowledge of safety procedures and standards for working with open flames and flammable equipment; ensuring there is an adequate volume and type of fuel and replenishing it when sources are exhausted or expired; adjusting settings to achieve desired temperature outcomes; and testing equipment to ensure any automatic, pumping or piping components properly function, and fuel ignition remains live."
"Install energy-efficient heating, ventilation or air conditioning (HVAC) equipment","Operate and maintain heating, ventilation or air conditioning equipment",Construction,"Select and utilise appropriate tools, equipment, and techniques to install heating, ventilation, or air conditioning (HVAC) equipment in order to create and maintain the desired temperature, relative humidity, and air purity in indoor spaces. This may involve evaluating a space to determine the appropriate size or type of equipment, sourcing power for equipment (such as solar panels for maximum energy-efficiency), pressure-testing systems to detect issues such as leaks or lubrication needs, undertaking reporting or documentation procedures in line with industry standards and regulations (including providing service stickers or energy consumption ratings), and providing guidance to customers on ways the energy-efficiency of their HVAC equipment can be optimised (such as by sealing around doors and windows with weather strips or installing roof and wall insulation)."
Operate heating or drying equipment,"Operate and maintain heating, ventilation or air conditioning equipment",Construction,"Operate heating or drying equipment specific to an industry (such as food processing, laundry, arts, or construction) in order to process, finish, or condition materials, items, or products through the application of heat. Select temperature, time, and other settings based on material requirements, manufacturer's instructions, and other relevant information, adjusting controls or settings accordingly. Utilise appropriate personal protective equipment and adhere to work health and safety guidelines."
"Service heating, ventilation or air-conditioning (HVAC) systems or components","Operate and maintain heating, ventilation or air conditioning equipment",Construction,"Service heating, ventilation, or air-conditioning (HVAC) systems or components within buildings or vehicles in order to ensure systems operate smoothly and efficiently and detect or prevent issues and leaks. This may involve identifying service requirements based on system age and model, visually checking and testing systems and components to determine service or repair needs, replacing faulty parts or replenishing materials (such as coolants), reporting findings or service outcomes, reviewing and applying industry codes or practice and regulations, scheduling future services, and providing recommendations for ways to optimise energy efficiency or minimise future repair needs."
Assist skilled construction or mining staff,Perform construction or mining activities,Construction,"Provide support to construction or mining staff by determining the activities where assistance may be beneficial, discussing delegated or volunteered tasks with others to confirm techniques or activities, and generally helping others to support an efficient and effective project or site. This may involve reviewing and suggesting modifications to work plans or designs, running tests to evaluate the function of equipment, vehicles or structures, using physical abilities to assist others (for example, provide support where two people are required to lift a heavy box or holding nails in position while another employee hammers), clean work environments or equipment, and restock or create supplies (such as mixing concrete). Work within the bounds of professional certification, accreditation, qualification, and competence."
Build agricultural structures,Perform construction or mining activities,Construction,"Construct agricultural buildings or structures (such as stables, silos, greenhouses, or sheds) by determining design requirements and specifications; selecting materials, equipment, resources, and tools that align with budgets and industry standards; obtaining relevant permits or permissions; and undertaking a range of tasks to complete construction. This may involve laying or installing pipes, foundations, joining, fittings, fixtures, glass, woodwork, or brickwork and other activities in line with relevant certification, accreditation, qualification, or competence. Ensure the finished structures align with design requirements, work plans, and zoning requirements."
Compact or smooth materials to create level bases,Perform construction or mining activities,Construction,"Utilise appropriate techniques, tools, or equipment to compact or smooth materials such as sand, concrete, soil, or gravel into level bases to facilitate installation or construction activities. This may involve the use of specialised equipment such as tamping machines, compactors, scrapers, or rollers in accordance with workplace safety operating procedures and standards."
Direct construction or mining staff,Perform construction or mining activities,Construction,"Provide instruction, guidance, or direction to construction or mining staff in order to maintain quality and consistency across project expectations, techniques, and work activities; ensure compliance with industry codes or standards across all aspects of projects; prevent issues or delays with work; or provide support and leadership. This may include providing technical or specialist expertise and guidance and assisting staff to develop skills or correct skill deficiencies."
Inspect equipment or tools to be used in construction or excavation,Perform construction or mining activities,Construction,"Inspect or run tests on equipment or tools to be used in construction or excavation activities to ensure safety, proper functioning, and compliance with relevant codes or standards, to identify upgrades or modernisation needs, or to locate damage, defects, or wear. Ensure to examine any components, connections, or mechanisms and assess equipment for wear, damage, loss of structural integrity, faults, malfunctions, or improper functioning. This may include visual inspection, using touch or force, conducting tests, or using diagnostic tools and equipment. Follow operational procedures for further action such as reporting, correction, adjustment, repair, maintenance, or decommissioning."
Load or unload materials used in construction or mining,Perform construction or mining activities,Construction,"Apply safe handling techniques to move, attach, load, and unload construction or mining materials. This may involve the use of hand tools (such as shovels), machinery (such as diggers or dump trucks), or systems (such as conveyor belt systems). Follow equipment safety protocols, observe loading procedures and load limits, and ensure load balance, distribution, securing, and equipment stability."
Maintain mining equipment,Perform construction or mining activities,Construction,"Undertake regular maintenance activities for mining equipment (such as earth leakage devices, switchboards, motors, transmission lines or components of machinery) in order to support safe and efficient operation. This may involve applying methodical fault-finding techniques; reporting maintenance outcomes; determining scope of work down-time; safely manoeuvring mining sites and accessing difficult-to-reach places (such as low conveyor sections); performing routing checks and testing; making necessary repairs; undertaking cleaning; replenishing materials; and generally ensuring that machinery is in its best possible functioning condition. Ensure industry technical standards, regulations and mining codes are adhered to and escalate complex repair or maintenance needs as appropriate."
Move construction or mining materials,Perform construction or mining activities,Construction,"Select and use appropriate tools, machinery, and techniques to transport construction or mining materials (such as bricks, cement, minerals, or explosive materials) from one location to another on a work site or remove materials from a site completely. This may involve loading or unloading materials onto machinery or systems (such as dump trucks or conveyor belts), assembling or disassembling components of materials for easier transport, determining environmental impacts and regulations before clearing sites, checking materials before and after moves to determine damage or quality changes in materials as a result of moves, maintaining equipment or vehicles, and coordinating activities with others to ensure materials can be retrieved and delivered in line with operational standards. Adhere to work health and safety standards and work within the bounds of relevant accreditation, licencing, qualification, and competence."
Operate heavy-duty construction or installation equipment,Perform construction or mining activities,Construction,"Operate heavy-duty construction or installation equipment such as graders, skid steers, excavators, backhoes, rollers, cranes, pumps, and power hammers to undertake construction or installation work activities. This may include moving or lifting materials, conducting excavation, and smoothing or grading materials. This will involve obtaining and maintaining licensing and knowledge of equipment and techniques. This may involve reviewing work plans and confirming suitability of machinery, using personal protective equipment and best practice signalling to ensure safe operations, utilising equipment and modifying operating techniques to meet changing work conditions. Monitor for hazards and risks, identifying and reporting safety and environmental issues."
Operate leveling equipment,Perform construction or mining activities,Construction,"Operate leveling equipment to establish or verify points in the same horizontal plane. Determine level requirements from work plans, specifications, or industry codes and standards, select and check function of appropriate leveling tools or devices (such as lasers, string lines or water levels), record and mark levels, and report or communicate information as necessary."
Position construction or mining equipment,Perform construction or mining activities,Construction,"Position construction or mining equipment in order to facilitate effective, safe, work tasks. This may involve aligning equipment according to specifications, designs, or work plans, or raising, lowering, securing, assembling, or dismantling equipment. This may also involve using markings, reference stakes, or other guides to ensure correct placement, and signalling or communicating with others to coordinate movement."
Prepare mining sites for commissioning or decommissioning,Perform construction or mining activities,Construction,"Prepare mining sites for commissioning or decommissioning by assembling, dismantling, or demolishing the site’s infrastructure and plant depending on site conditions and environmental standards and requirements. This may involve draining pipelines, disposing of any waste, preparing rehabilitation plans for land after decommissioning, following regulatory procedures to ensure site is at an acceptable standard of productive use or rehabilitation potential, testing soil or natural formations to determine contamination or ground conditions, and monitoring the site afterwards to determine the need for further work."
Authorise construction activities,"Plan, design or coordinate construction activities",Construction,"Review plans or construction activities to ensure compliance against relevant building codes, local ordinances, zoning regulations, contract specifications, and other relevant standards or regulations and provide authorisation for commencement or continuation. This may involve providing written documentation of findings, issuing permits and certifications, or issuing violation notices or stop work orders."
Construct exhibits or parts of exhibits,"Plan, design or coordinate construction activities",Construction,"Construct exhibits or parts of exhibits for events, museums, trade shows or educational centres. Assess specific practical or decorative requirements of exhibit concepts or designs, select and use appropriate tools and equipment to ensure exhibits are constructed securely and safely, and position and assemble exhibits in a way which is accessible, accentuates the exhibit’s features, and aligns with exhibit plans or organisational requirements."
Coordinate construction or installation activities,"Plan, design or coordinate construction activities",Construction,"Coordinate construction or installation activities to ensure work processes are undertaken in a logical sequence and do not impede or adversely affect other work. This may include undertaking planning and scheduling tasks; negotiating and overseeing the provision of contracts, materials, resources and permits; directing or allocating work or tasks to others; collaborating with other workers to ensure alignment of activities; or identifying and accounting for factors that affect completion of projects."
Create construction or installation diagrams,"Plan, design or coordinate construction activities",Construction,"Create detailed diagrams or blueprints in order to guide and define construction or installation projects. Illustrate factors such as measurements, dimensions, layouts of components, materials, textures, or flow of processes. Ensure readers can understand the diagram's purpose, contents, and implications on their work. Utilise computer-aided design (CAD) software or other drafting tools and instruments in order to create accurate and comprehensive diagrams or blueprints. Check design to determine accuracy and compliance with specifications and requirements, making alterations as necessary."
Create graphical representations of civil structures,"Plan, design or coordinate construction activities",Construction,"Create detailed models or diagrams of civil structures (such as bridges, water systems or tunnels) in order to evaluate design options, prepare and present designs to clients, advise on design implementation, and improve the effectiveness, efficiency or sustainability of civil infrastructure. Use traditional drafting and drawing tools or computer aided design software and relevant or legislated style guides to create graphical representations of projects. This may include incorporating or supplying relevant detail such as specifications, measurements or dimensions, textures and ideal materials, and details of challenges to designs (such as zoning, codes or permits)."
"Design structures, facilities, or systems","Plan, design or coordinate construction activities",Construction,"Create detailed conceptual designs of structures, systems, or facilities. Apply design and engineering principles, and consider factors such as industry standards, building codes, accessibility or sustainability requirements, customer needs, development restrictions, budgets, and timelines. Analyse factors which may have implications on outcomes, account for these or adjust designs accordingly, and present progressed or completed designs to clients."
Direct construction activities,"Plan, design or coordinate construction activities",Construction,"Direct and oversee construction activities in order to ensure quality, safety, and construction standards are upheld and project goals are met. This may include providing specialist or technical knowledge and guidance on techniques or tasks or undertaking general project management tasks to ensure project goals, timelines and budgets are met - such as managing staff and resource allocation; providing supervision, guidance, and direction; completing mandatory reporting; obtaining permits; and ensuring legislative or regulatory requirements are adhered to."
Direct installation activities,"Plan, design or coordinate construction activities",Construction,"Direct, coordinate and supervise the installation of various systems, components, equipment or machinery in buildings, vehicles, or structures. This may involve providing technical or specialist oversight on techniques or processes or undertaking general project management tasks to ensure project goals, timelines and budgets are met - such as managing staff and resource allocation; providing supervision, guidance, and direction; and conducting tests or monitoring to ensure staff and activities are compliant with specifications, legislation, codes of practice, design requirements or customer needs."
Install roofing materials,"Plan, design or coordinate construction activities",Construction,"Install roofing materials (such as strips of metal or shingle, insulation, asphalt, and fibreglass) by reviewing and interpreting installation requirements from job specifications, industry standards and codes, selecting appropriate tools and materials, positioning, fixing, and sealing roof components using power or hand tools, and ensuring roofing materials align with relevant standards or contracts (for example, relating to colour choices or roofing material types). This may also involve measuring, cutting, and securing materials such as roof battens with correct spacings, insulation with correct acoustic, thermal, moisture and bushfire control, or replacing gutters which are damaged or risk damaging new roofing materials. Inspect work to ensure correct alignment, fastening, structural integrity, safety, and stability."
Monitor construction operations,"Plan, design or coordinate construction activities",Construction,"Monitor construction operations to ensure they are being carried out in accordance with work plans, budgets, scheduling, industry standards, and codes for quality, safety, and the environment. This may include monitoring factors such as project progress, documentation and reporting, regulatory compliance, and conformance with work plans, specifications, or designs. Conduct regular inspections, tests, and discussions on work sites and provide leadership and guidance across operational activities and decision-making processes. Identify issues and follow workplace or other procedures for documentation, reporting, escalation, or remediation."
Monitor mining operations,"Plan, design or coordinate construction activities",Construction,"Monitor mining operations to ensure they are being carried out in accordance with plans, budgets, scheduling, industry standards, and codes for quality, safety, and the environment. This may include monitoring factors such as project progress, documentation and reporting, regulatory compliance, and conformance with work plans and required outcomes. Conduct regular inspections, tests, and discussions on work sites and provide leadership and guidance across operational activities and decision-making processes. Identify issues and follow workplace or other procedures for documentation, reporting, escalation, or remediation."
"Plan layout of construction, installation or repairs","Plan, design or coordinate construction activities",Construction,"Plan layouts, timelines and implementation methods for construction, installation, or repair activities by determining the scope, standards, and design requirements of the project, identifying any obstructions or hazards, and creating suitable layouts accordingly. This may involve communicating with others to coordinate activities within various areas or specialisations necessary for construction, installation, or repair, reviewing specifications, work plans or designs for the project, assessing variables that may impact the functionality or appearance of layout outcomes, and calculating and measuring angles, alignment and positioning to ensure effective placements are chosen."
Position structural components,"Plan, design or coordinate construction activities",Construction,"Position structural components to ensure correct alignment, structural integrity, safety, and stability. Review blueprints or other work instructions and apply engineering principles and construction codes to determine correct positioning, and use measuring instruments or equipment as necessary to ensure accuracy."
Install drilling equipment,Undertake earthworks,Construction,"Install drilling equipment on work sites to support work activities which involve accessing, analysing, or extracting underground materials. This may involve interpreting installation documentation to choose and set up appropriate equipment, scaling loose surface materials (such as gravel or sand), erecting boundaries, identifying, and mitigating hazards or risks on-site, aligning equipment to access drill patterns, installing reinforcements, and conducting equipment checks to identify maintenance or repair needs."
Operate detonation equipment,Undertake earthworks,Construction,"Safely operate detonation equipment (such as exploders, firing systems or dry cells) in line with relevant licencing, accreditation, registration, or qualification, in order to set off fireworks or blast rock formations in mines, quarries, demolition or construction sites. Prior to detonation, communicate warning signals to others to inform others of blasting operations, clear all tools, vehicles, people, and equipment from the area being charged, check for obstructions to explosives or detonators, and select and set up detonation equipment, appropriately measured amounts of explosive materials, and accessories (such as igniter cords, rheostats or blasting caps). Operating detonation equipment may involve activating switches, testing components and detonators, ensuring firing position is accurate, connecting wires, maintaining knowledge of emergency procedures, and strictly adhering to safety and environmental regulations and industry standards and codes of practice."
Operate mining equipment,Undertake earthworks,Construction,"Maintain and apply knowledge of industry standards and safety regulations, and work in accordance with relevant licencing, accreditation, or qualification, in order to operate equipment which extracts minerals, coals, rock, or other natural resources from within the earth (such as longwalls, excavators or motor graders). Review work plans to determine equipment necessary to undertake mining tasks, test machinery to ensure proper operation, correctly position and secure equipment, set up or adjust equipment according to work plans or environmental conditions, operate machinery, and communicate or signal to others to indicate start or stop of equipment in line with safety procedures."
Prepare explosives for detonation,Undertake earthworks,Construction,"Set up explosives for detonation by preparing environments, clearing hazards, safely placing and connecting explosives and detonation devices, confirming safe preparation, and communicating explosive status to others. This may involve undertaking activities such as obtaining permits and licenses, undertaking site checks, clearing blast sites of stones and other potential hazards, placing explosives at required safety distances, positioning explosives correctly, calculating and assembling quantities and equipment, and using best practice signalling and communication. Undertake reporting to account for all aspects of explosive preparation."
Align and install masonry materials,Undertake masonry and earth laying,Construction,"Accurately position and secure masonry materials (such as bricks, blocks, stones, or tiles) with mortar or bonding agents in order to build walls, flooring, pillars, or other components. This may involve communicating with others to identify and confirm masonry requirements, selecting tools, equipment, and materials appropriate for specifications or design plans, using personal protective equipment, ensuring masonry materials are aligned and levelled, securing materials in place with wire clamps, steel rods or other reinforcements, applying appropriate amounts of mortar or concrete, and installing masonry materials before bonding agents dry. Follow safety standards and other relevant codes, and remove waste, store tools and clear work areas after project completion."
Apply adhesives to construction materials,Undertake masonry and earth laying,Construction,"Select, measure, and apply adhesives (such as glue, bonding agents, or tape) to construction materials (such as flooring, roofs, piping, or cabinetry) in order to support installation or building activities. Maintain knowledge of adhesive types, functions, and application techniques in order to distribute them evenly and properly (for example, without air bubbles or oversaturation of materials), effectively store or dispose of excess adhesives, clean and prepare work surfaces, adhere to industry and safety standards and project specifications, and when necessary, notify others once adhesives are applied to install construction materials before they dry or harden."
Apply decorative masonry finishes,Undertake masonry and earth laying,Construction,"Apply decorative finishes to masonry by adding paint, finishes or sealant, or scoring or engraving patterns, ensuring the use of appropriate personal protective equipment, and working in a well-ventilated area when using chemicals or sprays. This may involve interpreting specifications, designs, or customer requests, mitigating hazards and adhering to safety requirements, calculating, measuring, and mixing finish quantities, allowing for curing or hardening, and ensuring finishes meet desired creative and decorative moods, themes and designs."
Apply mortar,Undertake masonry and earth laying,Construction,"Apply mixed mortar (often including sand, cement, water, plasticiser, and lime) using wheelbarrows, mud boards, shovels, trowels, jointing tools or caulking in order to lay a base for, or bond together, bricks, pavers, or stones. This may involve reviewing site plans to ensure mortar is applied to appropriate areas, cleaning tools and equipment after application, discarding dry or poorly mixed mortar, and collaborating with bricklayers to ensure bricks are laid before mortar dries or cracks."
"Break up rock, asphalt or concrete",Undertake masonry and earth laying,Construction,"Break up rock, asphalt, or concrete into small pieces in order to dispose of road or surface materials or recycle them for future use. This may involve using tools or machinery (such as jackhammers, air hammers or drills) to crack, break or otherwise use physical force on materials. Follow work health and safety regulations including for the use of personal protective equipment."
"Cut tile, stone or other masonry materials",Undertake masonry and earth laying,Construction,"Cut, trim or shape tiles, stone, pavers, bricks, and other masonry materials in order to achieve desired shape or size. This may involve selecting, maintaining, and operating suitable hand or power tools (such as chisels, power saws or brick splitters) to perform cutting, choosing appropriate techniques based on materials and requirements, ensuring cutting activities align with safety standards, utilising appropriate personal protective equipment, and interpreting designs, plans or blueprints."
Finish concrete surfaces,Undertake masonry and earth laying,Construction,"Finish concrete surfaces using suitable techniques such as textured or non-slip, steel trowel, or edging and jointing systems. This may involve assessing environmental factors (such as temperature, wind, and humidity) to ensure finishes are not impacted, selecting appropriate techniques for desired practical or decorative effects, adhering to safety protocols (for example, wearing a mask to reduce risk of silica dust exposure), assessing strength of setting concrete, and identifying when to apply finishing in order to minimise waste, delays and faults."
Install structural foundations,Undertake masonry and earth laying,Construction,"Install structural foundations or footings (such as concrete slabs, posts, stumps, or piles) to the base of a building or structure in order to provide supports between the load of a building or structure and the ground on which it stands. This may involve maintaining and applying knowledge of safety regulations, engineering principles, and standards for construction techniques, interpreting blueprints or designs, selecting appropriate foundation materials and methods (for example, determine appropriate foundation for installing foundations on bedrock to allow for better settling), using devices to measure and level foundation materials, and maintaining and operating hand or power tools to install foundations."
Shape wet or dry concrete,Undertake masonry and earth laying,Construction,"Mould, shape, or form wet or dry concrete to meet design, production, or construction requirement. Select tools and equipment based on material requirements and desired finished product, and follow work specifications, designs to create desired shapes, surfaces, or finishes. Allow the concrete to cure or set according to recommended procedures and follow work health and safety requirements."
Spread concrete or other aggregate mixtures,Undertake masonry and earth laying,Construction,"Spread concrete or other aggregate mixtures to provide foundations for walkways, driveways, patios, and other building projects. This may involve reviewing work plans or specifications and evaluating work sites in order to identify environmental variables, potential hazards, project scope, and other requirements. Ensure mixtures are produced with accurate consistencies, textures, and ratios, evenly distribute mixtures in designated areas using hands or tools, level surfaces, and inform others to coordinate tasks before mixtures dry."
"Spread sand, dirt or other loose materials onto surfaces",Undertake masonry and earth laying,Construction,"Distribute sand, dirt, or other loose materials onto surfaces according to construction or landscaping needs. This may be in order to provide a decorative effect in gardens or landscapes, or to add bulk or strength to surfaces to prepare them for construction materials. Select appropriate grain type, size, colour, and amounts of materials, spread materials using machinery, rakes or shovels, communicate to supervisors or clients to determine needs and provide progress updates, and adhere to safety standards."
Assemble or install wooden structures or structural components,Undertake woodworking or carpentry,Construction,"Assemble, erect, or install wooden structures or structural components. Follow workplace procedures, assembly instructions, schematics, diagrams, or other guides in order to select equipment and techniques and ensure correct assembly, positioning or installation. Inspect quality to ensure the stability, safety, and functionality of work, and that it is completed according to specifications, making alterations as necessary. Adhere to work health and safety standards and wear appropriate personal protective equipment."
Assemble wood products,Undertake woodworking or carpentry,Construction,"Position and secure wooden components together in order to assemble wood products such as furniture, cabinetry or frames. This may involve identifying types of wood and selecting assembly techniques and tools accordingly, following manufacturer’s assembly instructions or customer designs, rejecting and replacing split or damaged wood components, positioning, clamping or otherwise securing joinery or wooden components together using adhesives, nails, screws, or dowels, and applying sealant or coatings when necessary."
Cut trees or logs,Undertake woodworking or carpentry,Construction,"Choose an appropriate cut type (such bridging cuts, swinging cuts or ripping cuts), tools, or other techniques, and cut trees or logs according to instructions, markings, sizes, types, or grades. This may involve setting up, maintaining, sharpening, and operating cutting equipment (such as chainsaws, axes, and wedges), and ensuring that workplace policies and procedures, health and safety regulations, and industry codes of practice are strictly adhered to."
Cut wood components,Undertake woodworking or carpentry,Construction,"Cut wood into specific sizes, components, or shapes for decorative or practical application in artistic, production, or construction activities. Select and utilise appropriate techniques and tools based on material requirements and desired result, accounting for factors such as wood type, thickness, hardness, flexibility, or texture. Follow measurements, patterns, specifications, or templates to ensure end products have the correct dimensions for use, installation, or further processing. This may involve setting up shaping equipment (such as handsaws, lasers, or jigsaws), checking sharpness and alignment of blades, replacing blunt or damaged blades, and positioning and securing wood components for cutting. Follow work health and safety guidelines and other procedures and standards."
Evaluate log quality,Undertake woodworking or carpentry,Construction,"Evaluate the quality, condition, fitness for purpose, or grading of logs according to established guidelines for specific industries (such as construction, carpentry, or production). This may involve maintaining and applying knowledge of various types of wood, their characteristics (such as knotting and straightness) and properties (such as strength or density); selecting, maintaining, and operating measurement devices; identifying defects or issues in quality that may affect the value, functionality, or usability of logs; and undertaking reporting or classification in line with standards."
Operate woodworking equipment,Undertake woodworking or carpentry,Construction,"Operate woodworking equipment (such as various types of saws, jointers, lathes, or conveyor systems) in order to cut, shape, join, repair, or create decorative or practical woodworking pieces including skirting boards, furniture, utensils and sculptures. This may involve selecting equipment, tools, settings, wood materials, guards and stops that are appropriate for woodworking needs or designs, following standards for operating procedures and safe work practices (including use of personal protective equipment), setting up and adjusting machines to use specific shapes or patterns, maintaining, or sharpening tools, and reviewing drawings or designs to ensure outcomes align with desired aesthetics or functionality."
Repair wooden structures and fittings,Undertake woodworking or carpentry,Construction,"Repair wooden structures, such as doors, cabinets, frameworks or floors, and fittings in accordance with workplace procedures and safety requirements. Check existing components against standards in order to determine required repair techniques and materials. Review work and make any alterations necessary to ensure work is completed to a high standard."
Shape surfaces or edges of wood work pieces,Undertake woodworking or carpentry,Construction,"Form specific shapes, patterns, textures or other decorative designs on the surfaces or edges of wooden objects or structures. This may involve the use of hand or power tools and equipment, understanding the properties of various wood types and selecting tools or techniques accordingly, positioning and securing shaping equipment, checking blades or abrasive attachments for sharpness and alignment, replacing components when they are no longer safe for use, and reapplying finishes or paint on wooden surfaces. Monitor the jig or shape and adjust to ensure desired outcomes, and review designs or plans to confirm outcomes align with job requirements."
Treat timber,Undertake woodworking or carpentry,Construction,"Treat timber in order to protect it from deterioration or damage, including from factors such as fungal decay, exposure to weather conditions, or insect attack. Review work orders or job specifications alongside timber type to determine appropriate treatment materials, solutions, and techniques. Utilise treating plant to treat timber, adhering to workplace health and safety procedures and utilising required personal protective equipment. Brand timber and record outcomes of treatment process in line with relevant organisational procedures."
Perform rigging operations,Use climbing or lifting equipment,Construction,"Safely perform rigging operations to move, place, or secure loads. Review and interpret task instructions, identify site and task specific hazards and determine required controls, safety measures, and personal protective equipment. Establish communication channels to coordinate work tasks. Calculate loads, identify required rigging equipment, associated gear, and techniques. Ensure ground and structure have been assessed as suitable for load bearing tasks, erect relevant structures, operate equipment to move loads in accordance with workplace and manufacturer requirements, and monitor movements closely to identify and address rigging issues. Perform tasks according to relevant licencing, accreditation, qualification and registration."
Use equipment to climb structures or undertake tasks at height,Use climbing or lifting equipment,Construction,"Select, maintain, and safely use equipment such as ladders, scaffolding, scissor lifts, harnesses, lifelines, and pole straps in order to climb structures or otherwise undertake tasks at height. This may involve ensuring equipment and structures are considered safe according to regulations and industry standards, taking all necessary steps to prevent falls and injuries from falls (such as wearing helmets or harnesses), installing fall-arrest systems (such as safety nets, anchorage points or catch platforms), inspecting and testing equipment to ensure proper function and detect problems, and communicating or signalling other workers. Work within the limits of relevant licencing, qualification, accreditation, or registration, and adhere to relevant codes, guidelines, and protocols."
Compute gaming wins and losses,Manage gaming and betting,Customer service,Calculate or verify player or patron winnings or losses so that winnings can be collected or paid out.
Conduct gaming transactions,Manage gaming and betting,Customer service,"Manage gaming transactional activity including exchanging currency for playing chips, coins, or other items and vice versa; collecting, recording, and issuing receipts for bets according to gaming rules and procedures; paying out winnings."
Operate gaming equipment,Manage gaming and betting,Customer service,"Operate gaming tables, amusement booths and associated equipment to facilitate games, ensure rules and regulations are followed, determine winners and award prizes."
"Answer questions and advise others on the use of products, goods, or services",Provide customer service and communicate information,Customer service,"Describe and answer questions about the use, features and other details of goods and services, including how these align with customer requirements and any associated procedures or policies. This could include instructional, operational, or technical information, as well as information about maintenance, installation, or construction. May involve demonstrations or presentations."
Answer telephones to direct calls or provide information,Provide customer service and communicate information,Customer service,"Respond to telephone-based queries by actively listening, directing calls, and providing support to callers with relevant information and resources."
Assist individuals to complete or lodge paperwork,Provide customer service and communicate information,Customer service,"Provide support to individuals with completing or lodging various forms of paperwork. This may involve assisting with spelling and formatting, asking the individual questions to answer questionnaires, or helping them to understand and adhere to information or requirements."
"Collect information about customer, client, or user needs or issues",Provide customer service and communicate information,Customer service,"Gather information about or from customers, clients, or users in order to inform service provision, advice, or recommendations. This may involve collecting data directly by asking questions about needs or issues, or consulting customer records or other data including notes from previous interactions."
Communicate organisational information to customers or other stakeholders,Provide customer service and communicate information,Customer service,"Convey relevant organisational information to customers or stakeholders. This could include operational or governance information such as operating hours, policies and procedures, or information relating to service offerings and strategies."
Document client health or progress,Provide customer service and communicate information,Customer service,Collect and record information about a client's health and any changes or progress against goals. This may include measuring physical characteristics or ability or tracking improvements in wellbeing or toward the resolution of issues.
"Greet customers, patrons or visitors",Provide customer service and communicate information,Customer service,"Welcome customers, patrons or visitors to an establishment, service, event, area, locale, or attraction. Determine nature and purpose of their visit and provide relevant information, direction, or service."
"Inform the public about policies, services or procedures",Provide customer service and communicate information,Customer service,"Advise the public about, and explain, policies, services, or procedures in a clear, comprehensive way - taking into account a diverse audience."
Issue documentation to customers or employees,Provide customer service and communicate information,Customer service,"Oversee the creation and issuing of documentation to customers or employees. This could involve giving a bank customer a record of their account transaction history, or an employee a record of their leave history and balances."
"Locate products in stores, stock rooms or warehouses using online databases",Provide customer service and communicate information,Customer service,"Assist customers to find merchandise by locating products in store, nearby stores, stock rooms, or warehouses using inventory databases. This may include using indexing systems, search functions and keywords to assist in locating relevant items, narrow search parameters, and more effectively find results."
Measure clients to ensure proper product fit,Provide customer service and communicate information,Customer service,"Take anatomical measurements of an individual's body or body parts, to ensure products will achieve desired fit on the body or function effectively."
Present sustainable goods or services information to the public,Provide customer service and communicate information,Customer service,"Present information to the public about sustainable goods or services in a clear, comprehensive way – taking into account a diverse audience. This could include demonstrating features or functionality of goods."
Present work to clients for approval,Provide customer service and communicate information,Customer service,Present work in-person or online to clients to ensure it meets their specifications. This may also include taking into account any feedback they may have for future revision.
Provide customer service to clients or users,Provide customer service and communicate information,Customer service,"Provide assistance, support or service to customers before, during and after a purchase. This may include developing knowledge, rapport, and connection with repeat customers, understanding and anticipating customer needs, and utilising sound product, technical or service knowledge to answer queries, resolve issues, and provide recommendations, guidance, and user support."
"Provide guests, visitors, clients or customers with general information or assistance",Provide customer service and communicate information,Customer service,"Provide guests, visitors, clients, or customers with general information relevant to their situation - for example on business services, features or operations, or on local areas and points of interest. This may include providing recommendations or accommodating their requests."
Provide notifications to customers or patrons,Provide customer service and communicate information,Customer service,"Contact customers or patrons with information relevant to their situation - for example to advise them of issues, changes, required action, updates, results or status."
Provide transportation information to passengers or customers,Provide customer service and communicate information,Customer service,"Provide relevant transportation information to passengers or customers. This could include operational information such as schedules, pricing, policies or procedures, or advice such as the optimal route or mode of transport based on customer needs and requirements."
